abricotier
acerolier
airelle
ajonc d'europe
akebie a grappe
aliboufier
alisier
alouchier
amandier
amelanchier 
andromede
angelique du japon
aralia a tige nue
arbousier
arbre a laque
arbre a miel
arbre a neige
arbre a papillon
arbre a papillon argente
arbre a savon
arbre a soie
arbre a the australien
arbre aux 40 ecus
arbre aux bonbons
arbre aux cloches d'argent
arbre aux faisans
arbre aux mouchoirs
arbre aux pagodes
arbre aux sept fleurs
arbre de beaute
arbre de joshua
arbre de judee
arbre du clerge
arbre fuchsia
argousier
aronie noire
aronie rouge
arrayan
aubepine
aubepine a feuilles de tanaisie
aubepine chinoise
aubepine d'été
aubepine orientale
aubepine pediculee
aubepine pontique
aulne
aulne blanc
azerolier
babaco
baguenaudier
bambou de bisset
bambou jaune
bambou moso
bambou noir
bananier
bergamottier
bibacier
bleuet
bois canelle
bois de sainte lucie
bois joli
bouleau
bourdaine
buis
busserole
cabrillet
camarine noire
camerisier bleu
camerisier de siberie
camerisier des haies
canneberge
caraganier de siberie
carambole
carye lacinie
cassissier
catalpa
cedre de l'atlas
cerise de cayenne
cerisier sauvage
cerisier acide
cerisier de chine
cerisier jaune
chalef a grande feuille
chalef argente
chalef d'automne
chalef d'ebbenge
charme
chataigner
chataigner de chine
chene pedoncule
chevrefeuille d'hiver
chevrefeuille des jardins
chevrefeuille involucre
chicot du canada
chimonanthe
chirimoya
citronnier jambhiri
cocotier du chili
cognassier
cognassier de chine
cognassier du japon
cognassier russe
combava
copalme d'amerique
cormier
cornouiller
cornouiller de chine
cornouiller de hongkong
cornouiller de siberie
cornouiller du canada
cornouiller du japon
cornouiller officinal
corossolier
coton arborescent
cytise faux ebenier
cäprier
désespoir des singes
eglantier
epine vinette
erable cannelle
erable champetre
erable sycomore
eucalyptus a petites feuilles
fausse spirée
faux aralia
faux indigo du desert
faux noisetier
faux pistachier
faux vernis du japon
feijoa
fevier d'amerique
figuier
figuier de barbarie
forsythia
framboisier de l'alaska
framboisier de l'arctique
framboisier fraise
framboisier jaune
framboisier mauve
framboisier noir
frene a fleur
gadelier odorant
gainier du canada
gatiller
gaultherie
genet a balais
ginseng de siberie
goji chinois
goji jaune
goji noir
goufla
goumi
goyavier fraise
goyavier jaune
grenadier d'afghanistan
grenadilla
groseiller a maquereau
groseiller blanc
groseiller des alpes
groseiller des chiens
groseiller des montagnes
groseiller dore
groseiller herisse
groseiller noir de la cote
groseiller rose
groseiller rouge
groseiller sanguin
hamamelis
hetre
hetre pourpre
hickory
houx
ichang peda
if
indigotier
jacquier
jasmin d'hiver
jasmin officinal
jonova
josta
jujubier
jujubier d'inde
kaki noir
karkade
kaya
ketmie
kiwai
kiwi
kiwi de siberie
koda
kozo
kumquat
lampion chinois
lardizabala
laurier
laurier benzoin
laurier de californie
laurier tin
lavatere en arbre
lespedeze
lilas blanc
lilas rose
limettier de tahiti
macqui
magnolia
magnolia a grandes fleurs
magnolia du japon
magnolia etoile
mahonia a feuille de houx
mandarinier
manzanilla
meleze
merisier a grappe
mesquite
micocoulier
micocoulier de virginie
millepertuis arbustif
mimosa kalkora
mirabellier
murier a papier
murier a papier lacinie
murier blanc
murier blanc a feuilles dorées
murier de l'ile de bonin
murier des montagnes
murier noir
murier platane
murier rouge
myrte
myrte a feuille de hebe
neflier
neflier doux
nerprun
noisetier
noisetier de byzance
noyer
noyer a fruit rouge
noyer bijou
noyer de mandchourie
noyer du japon
noyer en grappe
noyer pourpre
olivier
olivier de boheme
oranger des osages
oranger du mexique
orme
orme champêtre
orme de samarie
orme de siberie
palmier a chanvre
palmier jupon
papayer
passiflore banane
passiflore bleue
passiflore officinale
paw-paw
pecanier
pecher
peuplier tremble
piment royal
pin blanc de chine
pin blanc du japon
pin coreen
pin des alpes
pin pignon
pistachier
pivoine jaune
plaqueminier
plaqueminier de virginie
poire du xinjang
poire ya
poire-coing
poirier
poirier de bollwiller
poirier de chine
poirier nashi
poivrier de sechuan
poivrier du japon
poivrier rose
pomelo enzo
pomme des kangourous
pomme douce
pommier
pommier rouge
poncire
pourpier de mer
prunellier
prunier
prunier abricot
prunier d'automne
prunier du natal
prunier myrobolan
prunier pourpre
prunier siberien
prunier-abricot hybride
puya
ragoumier
raisin d'amerique
raisinier
reglisse
reglisse de chine
reine claudier
rhododendron
robinier faux acacia
ronce
ronce bleue
ronce de taiwan
ronce du japon
ronce du thibet
ronce hybride
ronce jaune
ronce odorante
ronce palmee
ronce remarquable
rosier bleu
rosier de provins
rosier grimpant banksia
rosier parfume
rosier pimprenelle
rosier rouille
rosier rugueux
rosier velu
réglisse de russie
sassafras
saule blanc
saule marsault
savonnier
seringat
sorbier de fontainebleau
sorbier de suede
sorbier de wilford
sorbier des oiseleurs
sorbopyrus roumain
sorbopyrus slovene
spartier
staphylier de colchide
styrax a grandes feuilles
sumac limonade
sumac odorant
sureau bleu
sureau d'armenie
sureau noir
sureau rouge
symphorine
tamarillo
tamarillo jaune
tamarix
temu du chili
theier
thuya
tilleul a larges feuilles
tilleul a petites feuilles
tilleul de henry
trebizond
tulipier
udo
ugni
ugni noir
vigne
vigne chocolat
vigne chocolat argentee
vigne chocolat blanche
vigne d'amour
vigne de porcelaine
vigne interdite
viorne d'hiver
viorne lantane
viorne obier
viorne trilobee
yucca
yucca baillonnette
yuzu
